customer_id,age,income,education,employment_years,credit_score,debt_to_income_ratio,existing_loans,savings_balance,mortgage_balance,loan_amount_requested,years_at_current_address,number_of_credit_cards,late_payments_6m,bankruptcies,marital_status,dependents,home_ownership,loan_approved,approval_probability
CUST_045505,36,54696.39,High School,6.6,669,0.152,2,17947.66,0.0,8693.85,3.1,1,0,0,Married,1,Mortgage,1,0.467
CUST_040427,31,110230.49,Bachelor,1.2,645,0.237,2,39562.06,302484.44,43643.31,4.4,0,0,0,Married,2,Own,0,0.473
CUST_015950,37,38367.8,Master,3.8,677,0.388,0,11724.77,0.0,27372.49,1.9,1,0,0,Single,0,With Parents,0,0.399
CUST_044707,28,26760.76,High School,6.0,718,0.35,0,12827.61,0.0,1000.0,16.8,2,1,0,Single,0,Mortgage,0,0.423
CUST_036835,36,60872.93,Some College,4.5,658,0.606,3,18261.49,0.0,21209.16,5.2,0,0,0,Single,2,Mortgage,0,0.426
CUST_031537,27,31549.2,High School,2.8,495,0.328,2,11096.91,0.0,1114.84,0.3,4,1,0,Single,2,Mortgage,0,0.349
CUST_021838,64,45905.99,Bachelor,2.9,774,0.212,2,25181.5,0.0,15308.15,1.5,7,1,0,Married,2,Rent,1,0.473
CUST_024680,44,29079.8,Some College,3.5,704,0.258,3,1609.91,0.0,12247.08,0.6,3,2,0,Single,0,Own,0,0.422
CUST_047637,51,53982.09,Bachelor,6.2,570,0.163,2,8370.86,0.0,26277.81,1.6,0,0,0,Divorced,1,Own,0,0.43
CUST_007423,54,38525.6,Bachelor,1.1,687,0.152,3,10259.88,0.0,10838.48,0.3,3,0,0,Single,0,Rent,0,0.433
CUST_006231,57,20000.0,Some College,0.1,723,0.412,2,333.49,56856.66,6494.9,16.4,3,0,0,Married,0,Mortgage,0,0.392
CUST_001030,68,169504.76,Bachelor,9.9,669,0.291,0,38080.57,211679.69,19178.97,19.2,1,0,0,Married,1,Own,1,0.501
CUST_010005,64,38166.53,Some College,29.0,620,0.318,2,793.33,0.0,32976.1,1.1,2,0,0,Single,2,Own,0,0.397
CUST_008154,42,39451.49,Master,0.0,696,0.273,1,6399.98,0.0,5026.82,12.8,2,1,0,Widowed,2,Mortgage,0,0.423
CUST_042330,36,114375.68,Some College,14.0,798,0.287,1,54484.22,167482.15,7171.96,4.7,1,0,0,Single,0,Rent,1,0.545
CUST_001716,38,44492.3,Some College,0.4,850,0.323,1,12610.59,255992.89,1000.0,8.5,1,0,0,Married,1,Mortgage,0,0.479
CUST_017511,62,95444.16,Master,4.4,600,0.153,2,108423.96,230510.81,46744.54,7.4,4,0,0,Single,0,Mortgage,0,0.474
CUST_026966,34,55511.29,Some College,9.0,592,0.52,0,8336.36,0.0,32862.31,1.3,2,0,0,Single,0,Mortgage,1,0.408
CUST_032035,42,83923.02,Master,5.1,432,0.231,0,9884.17,85882.32,22701.85,18.5,3,1,0,Single,1,Rent,0,0.436
CUST_032412,66,66726.95,High School,3.9,519,0.145,0,8699.41,26887.92,59757.02,0.3,1,0,0,Married,1,Mortgage,1,0.401
CUST_045865,62,51589.61,High School,15.3,559,0.243,3,29731.51,18777.81,8510.46,0.6,8,0,0,Married,0,Own,1,0.427
CUST_025663,22,72062.16,Some College,0.0,702,0.306,0,7491.89,317610.31,7337.91,0.2,2,0,0,Single,2,Mortgage,0,0.47
CUST_033571,27,49152.04,Some College,5.0,677,0.422,1,15928.17,44862.87,15862.21,6.6,3,0,0,Single,0,Mortgage,0,0.433
CUST_030580,60,52253.7,Master,9.0,537,0.276,0,45477.85,54112.43,1000.0,1.6,1,1,0,Single,1,Mortgage,0,0.415
CUST_033886,58,53764.18,Bachelor,1.2,577,0.602,2,1621.53,0.0,10767.72,0.9,3,0,0,Single,3,Rent,1,0.379
CUST_022573,29,20000.0,Some College,2.5,613,0.198,2,3622.71,0.0,3557.79,1.5,1,0,0,Divorced,2,Mortgage,1,0.381
CUST_018934,39,20000.0,Bachelor,7.6,787,0.135,0,10150.03,10632.13,6490.69,27.3,0,1,0,Divorced,0,Own,0,0.46
CUST_046634,42,95709.03,Master,3.6,607,0.176,1,20311.28,0.0,12681.24,5.5,3,0,0,Single,0,Mortgage,1,0.472
CUST_021487,33,91667.41,Some College,0.5,690,0.363,3,5947.11,181931.4,56714.85,4.8,2,0,0,Widowed,1,Rent,0,0.463
CUST_046458,62,98028.41,High School,1.5,540,0.33,1,14263.71,206078.68,32248.97,1.9,2,2,0,Married,2,Own,1,0.43
CUST_010274,30,74404.83,Bachelor,1.8,806,0.363,1,87148.85,2843.18,13188.72,8.5,4,1,0,Married,0,Mortgage,0,0.509
CUST_000576,22,79531.78,Master,0.0,541,0.499,0,14816.32,0.0,9883.86,1.8,0,0,0,Married,1,Own,1,0.41
CUST_041607,60,41333.64,Bachelor,0.7,612,0.171,2,8263.09,0.0,2740.72,3.2,0,0,0,Married,1,Mortgage,0,0.409
CUST_022896,51,80950.21,Master,4.6,394,0.523,3,54821.82,94225.44,3965.36,1.2,5,0,0,Married,0,Mortgage,1,0.409
CUST_048446,60,39046.08,High School,1.1,795,0.34,0,19463.63,13841.3,1000.0,1.4,3,2,0,Single,3,Mortgage,0,0.453
CUST_013957,36,52069.84,Bachelor,9.2,628,0.367,2,27690.79,0.0,9103.57,5.2,6,1,0,Single,1,Own,0,0.438
CUST_018202,55,32285.41,Master,13.1,661,0.381,1,21931.76,0.0,2326.66,7.8,3,0,0,Married,0,Own,0,0.421
CUST_010531,64,38505.44,Some College,0.7,548,0.401,0,13462.29,84443.6,31514.15,0.8,1,0,0,Married,0,Mortgage,1,0.34
CUST_029757,67,128771.61,Bachelor,2.2,643,0.451,1,117959.55,344552.84,45643.38,2.3,2,0,0,Single,1,Rent,0,0.456
CUST_000959,54,132453.3,Bachelor,12.3,747,0.38,3,1666.76,620669.92,8102.66,3.1,6,0,0,Single,1,Own,1,0.52
CUST_009176,48,83421.4,Bachelor,11.0,754,0.16,3,10482.5,59499.44,2667.23,1.9,3,1,0,Single,0,Own,0,0.542
CUST_002234,60,34868.38,Bachelor,0.6,535,0.316,3,6890.75,114087.85,7656.99,2.3,3,0,0,Married,2,Rent,0,0.361
CUST_023627,47,67179.08,Some College,14.6,643,0.359,2,16691.78,0.0,15808.07,6.5,3,0,0,Married,0,Rent,1,0.468
CUST_035559,45,40472.48,High School,3.2,640,0.396,1,16175.31,0.0,11667.44,1.5,1,0,0,Divorced,0,With Parents,1,0.405
CUST_028610,61,23043.11,High School,3.1,564,0.363,1,5203.46,358135.44,1000.0,5.6,0,1,0,Divorced,1,Mortgage,1,0.356
CUST_019074,67,27776.0,Master,0.9,708,0.514,2,38893.33,0.0,1000.0,5.4,6,0,0,Married,1,Own,1,0.391
CUST_044782,67,49340.64,Bachelor,2.5,751,0.542,1,26272.54,124996.39,7493.17,0.2,4,1,0,Single,1,Mortgage,0,0.44
CUST_005274,55,102280.81,Some College,1.2,632,0.597,1,15071.2,0.0,9549.68,3.8,8,0,0,Married,1,Rent,0,0.436
CUST_016829,56,30093.0,High School,2.0,690,0.44,0,212.62,0.0,28750.41,0.3,6,0,0,Married,1,Own,1,0.371
CUST_042685,40,51771.49,Master,0.7,602,0.198,0,23103.27,304099.46,33308.39,6.9,3,0,1,Single,0,Rent,1,0.203
CUST_012229,47,69859.43,Some College,11.5,742,0.329,4,7786.85,169586.98,2716.73,2.1,3,0,0,Married,1,Mortgage,0,0.406
CUST_005104,39,89974.82,Bachelor,2.7,662,0.336,1,55.89,71012.37,43663.41,1.4,1,0,0,Married,1,Mortgage,1,0.474
CUST_026141,50,54728.67,Master,15.0,692,0.307,1,24727.09,0.0,41874.46,0.5,3,0,1,Single,1,Rent,1,0.225
CUST_000059,24,20000.0,Some College,2.0,687,0.472,2,7027.19,115124.91,1000.0,3.0,5,0,0,Widowed,2,Mortgage,0,0.38
CUST_024830,22,45383.19,High School,0.0,647,0.278,1,13964.71,0.0,19886.3,6.8,4,2,0,Married,0,Rent,1,0.415
CUST_020397,28,52454.5,Bachelor,6.0,599,0.191,2,7802.76,169685.71,32080.02,1.3,3,0,0,Single,0,Rent,1,0.424
CUST_044630,48,41421.38,Some College,3.6,642,0.225,0,5610.75,0.0,14466.87,7.7,3,0,0,Married,0,Mortgage,1,0.423
CUST_007279,53,123249.55,High School,5.6,509,0.345,0,116091.72,0.0,4525.99,2.8,2,0,0,Single,0,Own,1,0.43
CUST_016742,69,48574.13,High School,2.1,689,0.309,1,6192.23,235855.18,19265.19,3.8,0,0,0,Married,2,Mortgage,0,0.437
CUST_000871,52,99285.64,Some College,11.7,659,0.588,1,27877.22,206417.47,49170.53,4.0,0,1,0,Married,1,Rent,1,0.472
CUST_014186,23,47900.45,Some College,1.0,767,0.404,3,1828.0,0.0,5597.12,2.0,5,0,0,Married,2,Mortgage,1,0.451
CUST_005850,50,54763.38,Bachelor,7.6,746,0.41,1,7562.11,114371.2,9872.12,4.1,2,3,0,Single,1,Rent,0,0.331
CUST_026554,52,50457.23,Some College,5.6,583,0.171,3,3870.75,210573.96,1413.3,4.0,8,0,0,Married,1,Own,1,0.427
CUST_033456,59,86857.76,Some College,1.4,634,0.508,1,14555.3,594727.99,1089.2,8.7,3,0,0,Married,0,Rent,0,0.445
CUST_004728,37,50411.24,Some College,3.4,466,0.228,1,9865.33,0.0,11732.29,6.8,3,0,0,Divorced,0,Rent,0,0.388
CUST_026670,53,33641.23,Bachelor,0.4,740,0.539,0,1107.47,4593.51,17899.6,7.8,1,0,1,Married,2,Own,1,0.202
CUST_025079,25,31071.84,Bachelor,3.0,590,0.425,0,43875.46,155022.94,12124.09,10.2,3,1,0,Widowed,2,Rent,1,0.371
CUST_048949,29,102827.34,High School,4.2,445,0.511,1,17122.03,0.0,31663.4,3.2,2,0,0,Married,0,Mortgage,0,0.409
CUST_044415,41,127330.36,Bachelor,1.9,710,0.206,2,5181.47,51107.9,72817.66,18.9,3,0,0,Single,2,Mortgage,1,0.492
CUST_035713,49,50202.63,High School,2.8,570,0.272,2,342.92,190462.84,3298.46,8.7,4,0,0,Married,0,Own,0,0.405
CUST_007165,32,44098.82,High School,9.3,822,0.263,1,16027.05,35932.62,11934.55,5.0,3,0,0,Single,1,Rent,1,0.501
CUST_014771,32,36298.38,Master,7.5,775,0.233,2,2948.93,212176.26,2584.52,13.2,4,0,0,Single,0,Mortgage,1,0.471
CUST_035984,56,134211.09,High School,2.9,747,0.281,2,17902.6,710681.73,100000.0,0.7,2,0,0,Single,1,Mortgage,0,0.489
CUST_048719,58,115088.72,Some College,2.7,719,0.195,1,23567.79,0.0,69962.21,0.6,2,3,0,Single,1,Mortgage,0,0.347
CUST_039094,32,90985.65,Some College,0.0,724,0.26,1,77587.59,0.0,13156.81,4.0,4,2,0,Married,0,Mortgage,1,0.494
CUST_003850,40,43943.01,High School,18.0,623,0.343,2,12147.43,59004.3,38260.71,10.2,2,1,0,Single,1,Own,0,0.404
CUST_014311,31,32209.73,Some College,3.8,633,0.191,1,2679.92,238670.61,1000.0,1.9,3,0,0,Married,0,Mortgage,0,0.41
CUST_011076,36,46168.27,High School,14.0,660,0.365,2,27849.27,299677.38,7831.36,2.1,3,1,0,Single,0,Own,1,0.442
CUST_008018,59,47914.03,Some College,1.1,644,0.309,3,20672.18,320375.39,59948.58,2.9,4,0,0,Single,1,Rent,1,0.383
CUST_023216,29,21750.07,High School,1.4,599,0.247,3,3552.3,360364.9,2698.35,0.7,1,1,0,Single,0,Mortgage,0,0.371
CUST_027057,54,28629.58,Master,0.1,547,0.228,3,3661.87,106244.15,28461.61,14.6,3,1,0,Married,1,Mortgage,1,0.332
CUST_018715,67,30307.89,Master,5.5,663,0.333,1,35543.75,118243.15,2961.72,3.6,2,0,0,Single,0,Rent,1,0.41
CUST_008841,63,59895.66,Bachelor,6.4,704,0.334,0,11739.61,145096.08,10853.81,8.7,4,1,1,Married,1,Own,0,0.235
CUST_005246,31,24055.66,Some College,7.3,704,0.184,2,2397.52,0.0,4133.94,2.2,1,0,0,Widowed,0,Rent,0,0.433
CUST_040486,25,28290.43,Bachelor,3.0,730,0.422,6,5103.06,315140.67,1000.0,6.9,0,0,0,Divorced,0,Mortgage,1,0.331
CUST_041608,34,44844.52,Some College,2.1,584,0.138,0,3506.64,121602.63,30463.46,3.0,5,0,0,Married,1,Mortgage,0,0.396
CUST_035019,59,104145.12,Some College,4.1,721,0.455,0,10997.38,148046.2,100000.0,0.6,2,0,0,Married,0,Rent,0,0.459
CUST_005954,57,29476.66,Some College,3.1,548,0.212,1,7033.48,17134.55,2460.27,2.1,3,1,0,Divorced,1,Own,0,0.373
CUST_045140,52,20000.0,Some College,1.6,690,0.405,1,775.53,0.0,1330.93,8.0,2,0,0,Married,1,Mortgage,0,0.386
CUST_023620,66,20961.19,Some College,0.2,523,0.178,2,4411.93,49047.37,6507.62,4.7,3,0,1,Married,1,Mortgage,0,0.173
CUST_030763,26,31117.02,Bachelor,4.0,697,0.139,1,18319.0,74494.79,2188.25,0.7,3,1,0,Single,0,Mortgage,0,0.435
CUST_043161,54,39679.39,Bachelor,0.9,703,0.43,1,12806.4,0.0,13818.14,0.7,1,0,0,Married,0,Mortgage,1,0.415
CUST_007567,49,65757.09,High School,3.4,627,0.32,1,14227.24,82762.36,69153.41,6.2,2,0,0,Married,2,Rent,0,0.414
CUST_033817,58,21633.36,High School,7.3,709,0.411,3,11313.12,75887.24,3978.27,8.3,4,0,0,Single,1,Mortgage,0,0.411
CUST_041338,52,39368.05,Some College,5.4,745,0.338,1,1081.35,234655.48,18125.08,4.2,6,0,0,Married,0,With Parents,0,0.45
CUST_049531,26,25250.14,High School,1.4,555,0.269,1,2244.12,47428.12,1000.0,0.4,5,1,0,Single,1,Rent,0,0.36
CUST_044132,24,74332.49,High School,2.0,760,0.255,2,51526.16,68982.32,7462.13,2.7,1,0,0,Married,2,Mortgage,0,0.504
CUST_041400,29,26648.83,High School,0.1,797,0.385,3,5065.09,5001.7,24488.67,6.4,4,1,0,Widowed,0,Mortgage,0,0.402
CUST_009913,45,25743.27,Bachelor,12.9,692,0.236,1,2500.3,21198.47,5055.5,0.7,3,2,0,Single,0,Own,0,0.435
CUST_021414,37,97130.25,Bachelor,10.8,546,0.255,0,72718.04,0.0,100000.0,2.9,3,1,0,Divorced,0,Rent,1,0.433
CUST_043528,28,46537.04,Some College,6.0,686,0.436,1,4577.16,0.0,4415.8,2.6,3,0,0,Married,1,Mortgage,0,0.434
CUST_012327,26,93796.66,Some College,4.0,628,0.207,3,13723.54,71100.43,8263.45,10.8,1,1,0,Widowed,3,Own,0,0.478
CUST_017163,24,117081.95,Master,2.0,602,0.209,1,33386.81,636321.31,100000.0,4.0,3,0,1,Divorced,3,Mortgage,0,0.219
CUST_032935,57,103593.12,High School,4.2,714,0.512,3,4515.12,0.0,6268.14,11.5,1,1,0,Married,1,Rent,0,0.48
CUST_046062,54,30798.86,High School,0.6,675,0.335,1,16471.21,256459.66,1000.0,3.7,3,0,0,Single,0,Rent,0,0.4
CUST_026881,67,47334.0,Bachelor,0.2,622,0.34,2,36231.57,0.0,2006.74,2.1,2,0,0,Married,0,Mortgage,0,0.405
CUST_026919,25,53917.79,Master,0.7,684,0.3,1,28700.17,20450.47,69333.94,9.2,1,1,0,Single,1,Mortgage,0,0.404
CUST_007210,56,72899.35,Bachelor,3.7,576,0.44,2,253.83,0.0,3208.32,6.9,3,1,0,Married,1,Own,1,0.428
CUST_019296,54,128391.04,Bachelor,3.3,606,0.414,1,30552.13,27316.92,20208.43,0.3,3,0,0,Married,1,Own,0,0.45
CUST_003720,22,41020.04,High School,0.0,626,0.302,1,6175.46,153728.92,17802.81,2.1,4,1,1,Single,1,Own,0,0.2
CUST_041450,43,24450.52,Bachelor,1.4,576,0.118,2,20179.78,0.0,17203.36,2.4,5,0,1,Widowed,0,Mortgage,0,0.181
CUST_039092,57,20000.0,High School,24.2,641,0.304,0,940.73,817454.15,7831.0,5.6,1,0,0,Married,2,Mortgage,0,0.403
CUST_013691,48,29057.59,Bachelor,3.9,695,0.392,0,10970.14,778615.42,5514.09,1.8,3,1,0,Single,2,Own,0,0.409
CUST_010902,61,61041.12,High School,4.2,714,0.531,2,27035.36,1655.04,6125.84,3.1,2,0,0,Married,1,Mortgage,0,0.451
CUST_049322,68,43959.0,Bachelor,2.4,612,0.291,2,10321.99,0.0,1000.0,8.5,6,0,0,Single,1,Rent,1,0.407
CUST_042302,56,73907.76,Bachelor,6.4,553,0.172,0,5715.25,100159.36,63146.69,2.0,3,0,0,Widowed,0,Own,1,0.429
CUST_035054,48,91864.81,Some College,1.1,644,0.198,0,6429.73,0.0,15274.15,1.2,3,2,0,Married,2,Mortgage,0,0.475
CUST_024386,59,20000.0,Bachelor,4.8,512,0.569,3,6022.08,0.0,7153.12,1.7,2,0,0,Single,0,Mortgage,1,0.321
CUST_049988,47,39290.04,High School,25.0,575,0.163,0,5779.82,0.0,9802.0,2.8,4,1,0,Divorced,2,Rent,0,0.422
CUST_046534,51,73437.11,Some College,1.2,690,0.227,1,502.24,200195.72,14891.43,0.2,2,0,0,Married,2,Mortgage,0,0.479
CUST_007422,44,92696.93,Some College,1.1,596,0.411,2,18235.53,27986.76,2800.86,2.4,4,3,0,Single,2,With Parents,1,0.308
CUST_049497,63,77248.2,Bachelor,2.5,562,0.302,0,41291.9,0.0,23643.57,14.5,3,2,0,Married,2,Mortgage,0,0.439
CUST_039558,49,90048.86,Bachelor,4.7,341,0.305,2,961.07,0.0,73813.23,2.2,3,1,1,Married,2,Rent,0,0.203
CUST_040374,67,70810.41,Bachelor,7.2,677,0.32,1,226.13,21981.2,33739.8,13.4,2,1,0,Married,0,Own,0,0.48
CUST_015931,24,73034.74,High School,1.1,672,0.308,0,11810.19,0.0,22048.61,4.5,2,0,0,Married,0,Mortgage,0,0.465
CUST_037158,23,36901.85,Bachelor,1.0,634,0.472,2,6209.11,111262.7,1597.19,6.1,1,0,0,Divorced,1,Mortgage,0,0.384
CUST_049773,52,196821.16,Bachelor,9.7,568,0.386,0,19638.04,15140.71,71713.39,5.6,3,0,0,Single,3,Rent,1,0.458
CUST_021138,43,37388.57,Master,9.0,590,0.267,2,8453.73,347826.17,6215.06,4.1,3,1,0,Married,2,Rent,1,0.412
CUST_040122,65,51484.62,Master,4.3,624,0.5,0,40986.64,0.0,6841.63,1.4,4,1,0,Married,0,Mortgage,1,0.41
CUST_013910,47,24946.96,Bachelor,6.8,655,0.341,1,1942.03,67650.01,8363.9,5.1,1,0,0,Single,1,Rent,0,0.402
CUST_038026,29,67156.51,Some College,1.2,642,0.108,0,16605.73,0.0,16045.89,1.4,3,1,0,Married,0,Rent,1,0.464
CUST_013829,51,50810.71,High School,3.3,700,0.362,3,22026.0,114067.33,19990.71,2.0,2,0,0,Married,1,Rent,1,0.443
CUST_014994,61,28708.55,High School,11.5,850,0.147,2,10022.74,0.0,1000.0,6.7,4,2,0,Single,1,Own,1,0.5
CUST_015176,24,129771.87,Bachelor,2.0,639,0.155,3,9691.2,3450.86,60347.86,4.1,2,1,0,Married,3,Mortgage,0,0.48
CUST_036993,44,22235.76,PhD,7.0,799,0.19,2,420.53,0.0,32962.95,2.3,0,1,0,Single,0,Mortgage,1,0.421
CUST_005795,47,47447.93,Some College,1.3,509,0.284,1,13555.08,0.0,13602.57,9.0,5,1,0,Married,2,Own,0,0.375
CUST_034658,31,55889.87,Bachelor,9.0,704,0.274,1,172.44,0.0,20092.41,0.4,5,1,0,Married,0,Mortgage,0,0.477
CUST_028765,48,51615.39,Bachelor,4.3,572,0.141,0,8104.49,0.0,5986.55,7.7,5,0,0,Single,1,Mortgage,0,0.424
CUST_021024,60,70044.75,Some College,12.5,850,0.239,2,12181.54,178923.89,40701.73,1.1,1,0,0,Married,2,Rent,1,0.544
CUST_026412,24,38346.26,Some College,2.0,678,0.509,3,5244.48,0.0,2174.03,7.5,5,0,0,Married,2,Mortgage,1,0.401
CUST_007895,41,40282.38,PhD,16.2,506,0.187,0,16717.29,0.0,2189.26,1.1,0,2,0,Married,0,Mortgage,0,0.398
CUST_024053,49,36267.09,Some College,19.8,571,0.246,2,238.5,0.0,5490.81,7.7,2,1,0,Single,2,Rent,1,0.408
CUST_020598,28,82005.57,Some College,3.0,605,0.242,1,2127.47,42504.16,11321.95,6.7,2,0,0,Married,0,Own,0,0.464
CUST_003300,36,32429.85,Bachelor,0.3,599,0.233,0,5021.46,6269.4,10910.7,0.4,2,0,0,Single,4,Rent,1,0.385
CUST_019076,54,68780.43,Master,4.6,747,0.345,1,38170.16,249614.88,1000.0,14.5,3,1,0,Widowed,2,Mortgage,1,0.491
CUST_012124,30,151989.34,Master,4.4,723,0.328,2,23564.39,0.0,13924.06,1.8,1,1,0,Widowed,1,Rent,0,0.5
CUST_048890,49,129519.59,High School,12.4,676,0.341,1,16990.8,79138.65,4624.29,0.6,0,0,0,Single,1,With Parents,1,0.5
CUST_016831,28,71180.18,Bachelor,6.0,674,0.269,1,5141.96,476007.76,19572.06,15.1,1,2,0,Single,1,Own,1,0.481
CUST_030116,53,34343.04,Bachelor,2.2,481,0.396,1,1641.26,244541.92,4596.64,6.0,1,2,1,Married,0,With Parents,0,0.173
CUST_039630,62,41231.56,Some College,2.1,726,0.557,2,3264.21,409821.47,16488.54,11.0,1,1,0,Single,1,With Parents,1,0.417
CUST_004416,29,26279.99,High School,7.0,679,0.222,0,13122.75,0.0,3294.43,27.1,4,1,1,Single,1,Own,0,0.212
CUST_025256,37,34978.8,PhD,13.9,609,0.424,2,49309.86,20513.23,9087.51,2.1,3,1,0,Widowed,2,Own,0,0.404
CUST_007507,32,33689.69,Master,2.9,805,0.259,1,5043.74,19210.83,44649.06,6.0,5,0,0,Single,1,Mortgage,1,0.425
CUST_046292,46,76706.49,High School,20.2,486,0.299,1,46079.86,0.0,22204.55,3.5,2,0,0,Married,0,With Parents,0,0.439
CUST_039867,42,46216.71,High School,4.0,617,0.268,0,16543.6,135629.93,9111.03,0.3,2,0,0,Single,0,Mortgage,0,0.419
CUST_003328,41,43716.71,Bachelor,7.7,712,0.287,0,23757.67,80674.42,10390.11,9.2,2,1,0,Single,0,Mortgage,1,0.456
CUST_044931,27,60804.94,Some College,5.0,683,0.49,2,1672.64,0.0,10323.32,5.4,1,0,0,Divorced,0,With Parents,0,0.446
CUST_038365,26,39227.7,High School,4.0,749,0.384,3,3286.32,175.63,14719.2,2.6,0,0,0,Single,1,Rent,1,0.443
CUST_006788,32,49000.38,Master,2.1,571,0.507,1,2513.55,20706.99,9055.2,13.3,4,0,0,Married,2,Mortgage,0,0.381
CUST_011211,31,20000.0,Bachelor,9.0,629,0.293,0,10271.57,55434.14,7676.36,0.2,3,1,1,Single,0,Rent,0,0.198
CUST_014043,61,60803.87,Some College,1.6,711,0.17,3,25973.98,68701.58,58199.67,0.7,2,0,0,Single,1,Own,1,0.446
CUST_045162,22,233188.86,Bachelor,0.0,674,0.255,1,22103.36,0.0,65370.78,10.5,1,0,0,Married,1,Mortgage,0,0.477
CUST_011410,51,33695.75,Bachelor,1.8,620,0.196,0,5728.87,346837.97,5092.69,0.1,5,1,0,Married,2,Own,0,0.401
CUST_013256,27,38700.73,Bachelor,0.9,597,0.183,1,34332.64,0.0,27356.3,0.8,6,0,0,Single,1,Rent,0,0.382
CUST_039904,31,52892.24,High School,8.6,822,0.253,3,45895.04,64927.21,13737.19,10.0,2,0,0,Single,1,Rent,0,0.513
CUST_005971,36,39747.93,Bachelor,8.9,719,0.185,0,208.24,128145.79,10519.47,3.2,5,0,0,Single,1,Rent,1,0.465
CUST_046307,60,72905.43,Bachelor,3.7,715,0.251,1,7315.79,315704.43,6303.64,7.8,1,0,0,Single,0,Rent,1,0.492
CUST_003510,23,47890.2,Master,1.0,758,0.477,1,16702.25,294315.32,1000.0,3.7,3,0,0,Single,2,Rent,1,0.442
CUST_004367,22,35909.19,High School,0.0,522,0.71,1,3247.94,260497.89,1000.0,9.9,2,2,0,Divorced,0,Mortgage,0,0.321
CUST_005284,61,53041.16,Master,0.3,738,0.474,1,30154.09,0.0,1000.0,4.1,0,1,0,Single,1,Rent,1,0.441
CUST_011457,61,87853.77,PhD,1.3,611,0.221,3,12177.19,196267.98,17734.72,9.5,1,0,0,Married,0,Own,1,0.463
CUST_030252,31,54410.33,Bachelor,9.0,850,0.473,2,5184.38,0.0,4432.9,3.3,2,0,0,Married,2,Rent,1,0.506
CUST_006330,51,55293.24,Master,29.0,655,0.25,1,17383.53,0.0,18356.71,5.4,4,1,0,Single,0,Mortgage,0,0.464
CUST_028070,41,79751.42,Bachelor,1.2,534,0.237,0,34844.45,0.0,15981.1,5.4,0,1,0,Single,1,Rent,0,0.435
CUST_037094,32,183522.88,High School,1.8,631,0.147,4,5599.49,184275.34,41158.45,8.2,3,0,0,Single,1,With Parents,0,0.382
CUST_046573,35,27215.23,High School,4.5,850,0.438,2,24891.53,317666.52,11536.05,11.0,2,1,0,Married,0,Mortgage,0,0.456
CUST_035783,48,48203.53,Some College,1.6,828,0.395,1,537.36,102512.94,4889.42,3.0,2,1,0,Single,0,Mortgage,0,0.475
CUST_014750,69,92195.9,High School,6.5,534,0.198,1,18872.98,73596.16,66019.08,10.7,2,0,0,Married,0,Own,0,0.436
CUST_048508,49,51635.96,High School,27.0,589,0.393,1,10213.99,0.0,1363.57,2.5,4,0,0,Divorced,1,Own,0,0.424
CUST_031944,57,64168.85,Bachelor,10.8,813,0.438,0,13296.69,175901.26,19805.2,9.9,2,1,0,Married,1,Rent,1,0.514
CUST_049341,69,85278.14,Bachelor,0.7,651,0.513,0,55950.85,200318.27,5406.36,0.9,2,1,1,Single,1,Mortgage,0,0.224
